filename,name,date,total
Test1.jpg,p,2005-11-18,143.71
Test2.jpg,EHEEN FIELD,1/1/1000,0
Test3.jpg,None,1/1/1000,4.0
Test4.jpg,Taco Eel,9-1-20,0
Test5.jpg,Hammocks Blvd,1/1/1000,0
Test6.jpg,GOLDEN BOWL TFRIY,1/1/1000,0
Test7.jpg,SUGGESTED TIP,1/1/1000,179.94
Test8.jpg,m.,1/1/1000,0
Test9.jpg,Vero,1/1/1000,24.47
Test10.jpg,mun,2008-02-19,0
Test11.jpg,of Windham,1/1/1000,0
Test12.jpg,.Reg,1/1/1000,64.43
Test13.jpg,HP Pho Ga,1/1/1000,0
Test14.jpg,ALBETUS,1/1/1000,9.0
Test15.jpg,SHREDDED BEEF,1/1/1000,44.32
Test16.jpg,HAMMOCKS TRADING COMPANY,3-10-20,0
Test17.jpg,Chef Wang,5-4-28,0
Test18.jpg,UNIX,1/1/1000,1104.0
Test19.jpg,nvidlfi YOUR GUEST NUMBER IS,2012-04-27,0
Test20.jpg,am,1/1/1000,0
Test21.jpg,w Deccan Splce,1/1/1000,1.0
Test22.jpg,HAWWI ETHIOPtAN RESTAU,1/1/1000,52.35
Test23.jpg,Moonstar Restaurant,1/1/1000,7.0
Test24.jpg,Thoi,1/1/1000,30.15
Test25.jpg,WeakEnd Dinner,1/1/1000,33.92
Test26.jpg,LDS ANGELL,1/1/1000,0
Test27.jpg,None,1/1/1000,0
Test28.jpg,Longboards,2001-11-20,1.0
Test29.jpg,Eiifizflflliflfili,1/1/1000,0
Test30.jpg,RINCON MEXICANO,1/1/1000,0
Test31.jpg,None,2012-3-20,0
Test32.jpg,Waiter BO Sophie,2001-12-19,44.35
Test33.jpg,SPCY FRY,1/1/1000,0
Test34.jpg,ssance Parkway,1/1/1000,46.73
Test35.jpg,None,1/1/1000,0
Test36.jpg,Copy of ReceIpt,1/1/1000,24.25
Test37.jpg,PAPPADEAUX,1/1/1000,52.76
Test38.jpg,CHOW MEIN,1/1/1000,164.89
Test39.jpg,Micros Demo System,1/1/1000,0
Test40.jpg,manage,1/1/1000,0
Test41.jpg,W,1/1/1000,2810.0
Test42.jpg,None,1/1/1000,0
Test43.jpg,Ensalada,2002-11-19,69.0
Test44.jpg,Adm rn,1/1/1000,24.0
Test45.jpg,vnn,1/1/1000,0
Test46.jpg,v,1/1/1000,0
Test47.jpg,Powered by Toast,1/1/1000,38.86
Test48.jpg,Vern Klelmu a. Pang,1/1/1000,0
Test49.jpg,EXCELLENCE SERVED DAILY,1-01-20,0
