filename,name,date,total
Test1.jpg,oe,2005-11-16,143.71
Test2.jpg,GREEN FIELD,1/1/1000,51.9
Test3.jpg,None,1/1/1000,0
Test4.jpg,ai,1/1/1000,161.0
Test5.jpg,None,1/1/1000,0
Test6.jpg,SOLDEN BOWL TERI,1/1/1000,1.0
Test7.jpg,San Diego CA,1/1/1000,0
Test8.jpg,Akira,1/1/1000,0
Test9.jpg,Dona Mercedes Restaurant,1/1/1000,22.25
Test10.jpg,wu be pacar trante. on,2006-09-19,0
Test11.jpg,Friendly Red’s,1/1/1000,0
Test12.jpg,Pulled Pork Sand,1/1/1000,0
Test13.jpg,HP Pho Ga,1/1/1000,33.0
Test14.jpg,ALBETOS,1/1/1000,0
Test15.jpg,a yigaiee Blvd,1/1/1000,0
Test16.jpg,Coke,3-10-20,0
Test17.jpg,Chef Wang,2002-02-19,35.52
Test18.jpg,UMIX,1/1/1000,11.04
Test19.jpg,ne,2012-04-27,0
Test20.jpg,THANK,5-12-20,0
Test21.jpg,n Special Biryani,1/1/1000,0
Test22.jpg,mine Dine In,1/1/1000,0
Test23.jpg,Moonstar Restaurant,1/1/1000,0
Test24.jpg,Thai,1/1/1000,30.15
Test25.jpg,New Asia Buffet,1/1/1000,33.92
Test26.jpg,TEL ed od Fall,1/1/1000,6.64
Test27.jpg,None,1/1/1000,0
Test28.jpg,Longboards,2001-11-20,42.75
Test29.jpg,Raspberry Toe Te,2-8-18,174.0
Test30.jpg,RINCON MEXICANO,1/1/1000,0
Test31.jpg,g,1/1/1000,208.0
Test32.jpg,Ape pe chcsobacscba bby bare ek,1/1/1000,44.35
Test33.jpg,SPCY FRY,1/1/1000,0
Test34.jpg,Ground Beef,1/1/1000,0
Test35.jpg,i,1/1/1000,0
Test36.jpg,a,1/1/1000,0
Test37.jpg,PAPPADEAUK,1/1/1000,52.76
Test38.jpg,Panda,1/1/1000,164.89
Test39.jpg,Micros Demo System,1/1/1000,0
Test40.jpg,CA,1/1/1000,0
Test41.jpg,HOTHAI SUS’,1/1/1000,28.04
Test42.jpg,i,1/1/1000,0
Test43.jpg,A A,2002-11-19,69.9
Test44.jpg,None,1/1/1000,0
Test45.jpg,None,1/1/1000,0
Test46.jpg,y,1/1/1000,0
Test47.jpg,Araxi Burger Aventura,1/1/1000,0
Test48.jpg,Megan .,1/1/1000,79.8
Test49.jpg,Daily Gril,2011-01-20,91.45
